,name,id,level
264,food truck,4bf58dd8d48988d1cb941735,1
265,french restaurant,4bf58dd8d48988d10c941735,1
266,alsatian restaurant,57558b36e4b065ecebd306b6,2
267,auvergne restaurant,57558b36e4b065ecebd306b8,2
268,basque restaurant,57558b36e4b065ecebd306bc,2
269,brasserie,57558b36e4b065ecebd306b0,2
270,breton restaurant,57558b36e4b065ecebd306c5,2
271,burgundian restaurant,57558b36e4b065ecebd306c0,2
272,catalan restaurant,57558b36e4b065ecebd306cb,2
273,ch'ti restaurant,57558b36e4b065ecebd306ce,2
274,corsican restaurant,57558b36e4b065ecebd306d1,2
275,estaminet,57558b36e4b065ecebd306b4,2
276,labour canteen,57558b36e4b065ecebd306b2,2
277,lyonese bouchon,57558b35e4b065ecebd306ad,2
278,norman restaurant,57558b36e4b065ecebd306d4,2
279,provençal restaurant,57558b36e4b065ecebd306d7,2
280,savoyard restaurant,57558b36e4b065ecebd306da,2
281,southwestern french restaurant,57558b36e4b065ecebd306ba,2
282,fried chicken joint,4d4ae6fc7a7b7dea34424761,1
283,friterie,55d25775498e9f6a0816a37a,1
284,gastropub,4bf58dd8d48988d155941735,1
285,german restaurant,4bf58dd8d48988d10d941735,1
286,apple wine pub,56aa371ce4b08b9a8d573583,2
287,bavarian restaurant,56aa371ce4b08b9a8d573572,2
288,bratwurst joint,56aa371ce4b08b9a8d57358e,2
289,currywurst joint,56aa371ce4b08b9a8d57358b,2
290,franconian restaurant,56aa371ce4b08b9a8d573574,2
291,german pop-up restaurant,56aa371ce4b08b9a8d573592,2
292,palatine restaurant,56aa371ce4b08b9a8d573578,2
293,rhenisch restaurant,56aa371ce4b08b9a8d57357b,2
294,schnitzel restaurant,56aa371ce4b08b9a8d573587,2
295,silesian restaurant,56aa371ce4b08b9a8d57357f,2
296,swabian restaurant,56aa371ce4b08b9a8d573576,2
297,gluten-free restaurant,4c2cd86ed066bed06c3c5209,1
298,greek restaurant,4bf58dd8d48988d10e941735,1
299,bougatsa shop,53d6c1b0e4b02351e88a83e8,2
300,cretan restaurant,53d6c1b0e4b02351e88a83e2,2
301,fish taverna,53d6c1b0e4b02351e88a83d8,2
302,grilled meat restaurant,53d6c1b0e4b02351e88a83d6,2
303,kafenio,53d6c1b0e4b02351e88a83e6,2
304,magirio,53d6c1b0e4b02351e88a83e4,2
305,meze restaurant,53d6c1b0e4b02351e88a83da,2
306,modern greek restaurant,53d6c1b0e4b02351e88a83d4,2
307,ouzeri,53d6c1b0e4b02351e88a83dc,2
308,patsa restaurant,53d6c1b0e4b02351e88a83e0,2
309,souvlaki shop,52e81612bcbc57f1066b79f3,2
310,taverna,53d6c1b0e4b02351e88a83d2,2
311,tsipouro restaurant,53d6c1b0e4b02351e88a83de,2
312,halal restaurant,52e81612bcbc57f1066b79ff,1
313,hawaiian restaurant,52e81612bcbc57f1066b79fe,1
314,poke place,5bae9231bedf3950379f89d4,2
315,hot dog joint,4bf58dd8d48988d16f941735,1
316,hungarian restaurant,52e81612bcbc57f1066b79fa,1
317,indian restaurant,4bf58dd8d48988d10f941735,1
318,andhra restaurant,54135bf5e4b08f3d2429dfe5,2
319,awadhi restaurant,54135bf5e4b08f3d2429dff3,2
320,bengali restaurant,54135bf5e4b08f3d2429dff5,2
321,chaat place,54135bf5e4b08f3d2429dfe2,2
322,chettinad restaurant,54135bf5e4b08f3d2429dff2,2
323,dhaba,54135bf5e4b08f3d2429dfe1,2
324,dosa place,54135bf5e4b08f3d2429dfe3,2
325,goan restaurant,54135bf5e4b08f3d2429dfe8,2
326,gujarati restaurant,54135bf5e4b08f3d2429dfe9,2
327,hyderabadi restaurant,54135bf5e4b08f3d2429dfe6,2
328,indian chinese restaurant,54135bf5e4b08f3d2429dfdf,2
329,indian sweet shop,54135bf5e4b08f3d2429dfe4,2
330,irani cafe,54135bf5e4b08f3d2429dfe7,2
331,jain restaurant,54135bf5e4b08f3d2429dfea,2
332,karnataka restaurant,54135bf5e4b08f3d2429dfeb,2
333,kerala restaurant,54135bf5e4b08f3d2429dfed,2
334,maharashtrian restaurant,54135bf5e4b08f3d2429dfee,2
