,Districts,Neighborhoods,lat,lng
85,三民區,本文里,22.653541150000002,120.32547150106288
86,三民區,本武里,22.6510789,120.33182431035576
87,三民區,本元里,22.6523158,120.33434713849027
88,三民區,本安里,22.6491771,120.33850360393598
89,三民區,本上里,22.64601125,120.34073067445203
90,三民區,本揚里,22.6452289,120.34513184788214
91,三民區,寶獅里,22.63698995,120.3344656486737
92,三民區,寶德里,22.6402895,120.33471395981138
93,三民區,寶泰里,22.6429604,120.3328965601353
94,三民區,寶興里,22.643513050000003,120.32928210987336
95,三民區,寶中里,22.643395050000002,120.3246781911926
96,三民區,寶華里,22.637754049999998,120.34253626115535
97,三民區,寶國里,22.6413446,120.33946722723951
98,三民區,寶民里,22.6358824,120.34093348100001
99,三民區,寶慶里,22.6383876,120.3388141455604
100,三民區,寶業里,22.639495150000002,120.34563793620764
101,三民區,寶盛里,22.63784055,120.32833319598534
102,三民區,寶安里,22.64058875,120.32834390827024
103,三民區,寶龍里,22.64556865,120.32379039521817
104,三民區,寶珠里,22.64904425,120.32835665520852
105,三民區,寶玉里,22.64757635,120.3341550116109
106,三民區,灣子里,22.655668300000002,120.31786826663654
107,三民區,灣愛里,22.6587556,120.3198417095821
108,三民區,灣中里,22.6495904,120.31891850023439
109,三民區,灣華里,22.650756649999998,120.32133574392036
110,三民區,灣勝里,22.6521756,120.32219085066072
111,三民區,灣利里,22.65332915,120.32341449309303
112,三民區,灣復里,22.650412799999998,120.3160001008995
113,三民區,灣興里,22.65357315,120.31107145361781
114,三民區,灣成里,22.6560255,120.32178727373656
115,三民區,正興里,22.6462103,120.3190912038607
116,三民區,正順里,22.64829115,120.32307056619146
117,三民區,安康里,22.639552600000002,120.31807369513878
118,三民區,安寧里,22.639683599999998,120.31529206634096
119,三民區,安吉里,22.6433152,120.31606878379017
120,三民區,安發里,22.6409347,120.32105349857571
121,三民區,安東里,22.64843145,120.30728728229397
122,三民區,安和里,22.64822625,120.3043923086359
123,三民區,達德里,22.64316925,120.30517102184875
124,三民區,達明里,22.6445594,120.3052651500978
125,三民區,達仁里,22.64180415,120.30509907170864
126,三民區,達勇里,22.640325400000002,120.30440933590718
127,三民區,同德里,22.6412771,120.31270170206717
128,三民區,德智里,22.64301415,120.30942702329065
129,三民區,德仁里,22.6405246,120.30921644180913
130,三民區,安生里,22.6473843,120.31150476713282
131,三民區,德東里,22.643662300000003,120.29844298708369
132,三民區,德行里,22.6434591,120.30129186366236
133,三民區,精華里,22.64217115,120.30002882834152
134,三民區,民享里,22.64491845,120.30020425413204
135,三民區,安宜里,22.65004225,120.29688839950305
136,三民區,安泰里,22.6507371,120.30185633814838
137,三民區,安邦里,22.64693235,120.29751233418874
138,三民區,十全里,22.6435446,120.293523579435
139,三民區,十美里,22.6437476,120.29633185707007
140,三民區,德北里,22.64019355,120.29397852391517
141,三民區,立誠里,22.6410662,120.29937442294151
142,三民區,立業里,22.64066845,120.29777212237371
143,三民區,港東里,22.637089500000002,120.30557847971957
144,三民區,港新里,22.63521905,120.31619456332866
145,三民區,港西里,22.638156600000002,120.30181917103059
146,三民區,博愛里,22.6382096,120.31023210838777
147,三民區,博惠里,22.6362524,120.31739158265657
148,三民區,長明里,22.63861205,120.30505088060988
149,三民區,建東里,22.63797585,120.2982666175471
150,三民區,興德里,22.6363087,120.2950521432303
151,三民區,鳳南里,22.63555835,120.29237750400219
152,三民區,鳳北里,22.63825935,120.29417432742332
153,三民區,德西里,22.6445449,120.28874663182444
154,三民區,豐裕里,22.6392325,120.28998900750561
155,三民區,川東里,22.643457050000002,120.28431855468696
156,三民區,裕民里,22.63887455,120.285469388942
157,三民區,力行里,22.63953515,120.28718356927845
158,三民區,千歲里,22.63496655,120.2905702829814
159,三民區,立德里,22.63342925,120.28733710854746
160,三民區,千北里,22.63612075,120.28914624755133
161,三民區,千秋里,22.6365562,120.28677799698616
162,新興區,大明里,22.6298097,120.30060259776332
163,新興區,中東里,22.631778750000002,120.30925318054153
164,新興區,仁聲里,22.62905695,120.30752502687852
165,新興區,文昌里,22.63150785,120.31539827009706
166,新興區,正氣里,22.62267545,120.30748936399479
167,新興區,永寧里,22.626279,120.30615307249226
168,新興區,玉衡里,22.62493965,120.30293124128607
169,新興區,光耀里,22.62922065,120.3117788129043
170,新興區,成功里,22.6326314,120.30596863053148
171,新興區,明莊里,22.6316675,120.30036277629556
172,新興區,東坡里,22.6301688,120.30314682253479
173,新興區,長驛里,22.63296555,120.29894278950488
174,新興區,南港里,22.6353965,120.30674040892579
175,新興區,建華里,22.6352338,120.30044705092061
176,新興區,建興里,22.635012,120.29812307351818
177,新興區,秋山里,22.63331255,120.30077598530082
178,新興區,振成里,22.62301325,120.30325800241667
179,新興區,振華里,22.621465,120.30385133090974
180,新興區,浩然里,22.62421705,120.30838571423105
181,新興區,華聲里,22.6278884,120.3056994939857
182,新興區,開平里,22.63598465,120.31115570597066
183,新興區,順昌里,22.634784449999998,120.31491283383295
184,新興區,愛平里,22.63209865,120.30333089583587
185,新興區,新江里,22.63555345,120.30361617224199
186,新興區,榮治里,22.62755505,120.2995295486806
187,新興區,漢民里,22.6281521,120.30296150505274
188,新興區,德生里,22.62688955,120.31009642595802
189,新興區,德政里,22.6302212,120.30657966773535
190,新興區,德望里,22.62924375,120.30903918477776
191,新興區,黎明里,22.633711050000002,120.30345349594555
192,新興區,興昌里,22.631728250000002,120.3118418404809
193,新興區,蕉園里,22.630012999999998,120.30523588682678
194,前金區,三川里,22.63473585,120.29684426577785
195,前金區,文西里,22.62043965,120.29820678363907
196,前金區,文東里,22.620784649999997,120.30048507594286
197,前金區,北金里,22.63353235,120.2931624067342
198,前金區,民生里,22.62814795,120.29524435605988
199,前金區,東金里,22.630105999999998,120.29447831077658
200,前金區,林投里,22.627240299999997,120.29198925004276
201,前金區,社西里,22.62330915,120.29203053100693
202,前金區,社東里,22.62391345,120.2948711673411
203,前金區,長生里,22.62475845,120.29829143447876
204,前金區,長城里,22.63417935,120.29514227380807
205,前金區,長興里,22.6306667,120.29725151511002
206,前金區,青山里,22.62900985,120.29789490753463
207,前金區,後金里,22.6295978,120.29025304196429
208,前金區,草江里,22.63239315,120.29658684128587
209,前金區,國民里,22.625134850000002,120.29230547094437
210,前金區,博孝里,22.6215283,120.29246931357645
211,前金區,復元里,22.62651985,120.29641861292271
212,前金區,新生里,22.632656599999997,120.2899968339785
213,前金區,榮復里,22.6194683,120.2965639428908
214,鼓山區,鼓峰里,22.6672494,120.28677826649155
